Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-03-29 00:00:00-04:00,12.78801675063455,13.029658124517944,12.668069335591795,12.915695190429688,273520000,0.0,0.0
2021-03-30 00:00:00-04:00,12.80971472304937,12.942629963313632,12.673059062634387,12.83938980102539,200204000,0.0,0.0
2021-03-31 00:00:00-04:00,12.982778720855652,13.436634761447108,12.949861691430945,13.314692497253418,314776000,0.0,0.0
2021-04-01 00:00:00-04:00,13.538130133989712,13.835131119935525,13.477282664265397,13.77702808380127,308276000,0.0,0.0
2021-04-05 00:00:00-04:00,13.832636208536442,13.978767529559853,13.698473850909528,13.9523344039917,255672000,0.0,0.0
2021-04-06 00:00:00-04:00,13.964552432362328,14.018915037379223,13.738871566976432,13.82664966583252,191744000,0.0,0.0
2021-04-07 00:00:00-04:00,13.845852528976325,14.207690603431818,13.67702849951117,14.107942581176758,251284000,0.0,0.0
2021-04-08 00:00:00-04:00,14.21691644922942,14.435116472853124,14.213175078323518,14.281004905700684,244416000,0.0,0.0
2021-04-09 00:00:00-04:00,14.17826681463346,14.371779356651926,14.139365299112661,14.363799095153809,195172000,0.0,0.0
2021-04-12 00:00:00-04:00,14.253826338640454,15.313904498075306,14.10370439177291,15.170764923095703,869324000,0.0,0.0
2021-04-13 00:00:00-04:00,15.1932049428372,15.660527186575505,15.08772073364079,15.6400785446167,676212000,0.0,0.0
2021-04-14 00:00:00-04:00,15.58572070796005,15.680980625316886,15.18921993509847,15.238595962524414,385500000,0.0,0.0
2021-04-15 00:00:00-04:00,15.623122755169474,16.17348576432492,15.592200556342737,16.0966796875,598480000,0.0,0.0
2021-04-16 00:00:00-04:00,16.0126405831472,16.125108122447834,15.82536274319291,15.8724946975708,335208000,0.0,0.0
2021-04-19 00:00:00-04:00,15.49743679524728,15.767755332811493,15.194699705573543,15.323125839233398,404420000,0.0,0.0
2021-04-20 00:00:00-04:00,15.284724505863194,15.458037592088138,14.92538071636659,15.13310718536377,334132000,0.0,0.0
2021-04-21 00:00:00-04:00,15.080743074895116,15.323880890291614,15.064285033163697,15.32188606262207,216776000,0.0,0.0
2021-04-22 00:00:00-04:00,15.33634630471237,15.399687065149584,14.746333090501135,14.812915802001953,277788000,0.0,0.0
2021-04-23 00:00:00-04:00,14.896705203918978,15.2964478790434,14.862791235395903,15.226873397827148,227500000,0.0,0.0
2021-04-26 00:00:00-04:00,15.146826138366272,15.440086710805838,15.086976556604712,15.439088821411133,197796000,0.0,0.0
2021-04-27 00:00:00-04:00,15.539335580819824,15.631104301229037,15.31589873770508,15.343080520629883,164572000,0.0,0.0
2021-04-28 00:00:00-04:00,15.325874983835623,15.493203632112797,15.177249389889502,15.2383451461792,209416000,0.0,0.0
2021-04-29 00:00:00-04:00,15.361281030191163,15.3976892392755,15.033607148432132,15.28622055053711,173196000,0.0,0.0
2021-04-30 00:00:00-04:00,15.136350655609169,15.326371032074357,14.95929618068849,14.97176456451416,201912000,0.0,0.0
2021-05-03 00:00:00-04:00,15.086974247402853,15.20841803404415,14.750323136442555,14.79944896697998,203912000,0.0,0.0
2021-05-04 00:00:00-04:00,14.600450555269253,14.600699789762439,13.975027035475872,14.315169334411621,405324000,0.0,0.0
2021-05-05 00:00:00-04:00,14.672017659441423,14.776255689857118,14.351326163053967,14.422147750854492,292024000,0.0,0.0
2021-05-06 00:00:00-04:00,14.458809043562871,14.534618194500736,14.182256705395886,14.486489295959473,193380000,0.0,0.0
2021-05-07 00:00:00-04:00,14.771020454684466,14.933111336631207,14.634863276725753,14.775010108947754,229328000,0.0,0.0
2021-05-10 00:00:00-04:00,14.750073658170713,14.768776709960429,14.214174766121413,14.22988510131836,268904000,0.0,0.0
2021-05-11 00:00:00-04:00,13.790240987277931,14.318658960168204,13.715429742573756,14.270280838012695,285584000,0.0,0.0
2021-05-12 00:00:00-04:00,13.974277782332045,14.224397903406471,13.674783549250568,13.723909378051758,303408000,0.0,0.0
2021-05-13 00:00:00-04:00,13.998467009467184,14.045349728476552,13.425162054864115,13.63089370727539,285404000,0.0,0.0
2021-05-14 00:00:00-04:00,13.855080192512533,14.291978764788404,13.713935458707894,14.207192420959473,258616000,0.0,0.0
2021-05-17 00:00:00-04:00,14.121408850962863,14.133628001156678,13.818672627064075,14.129887580871582,216980000,0.0,0.0
2021-05-18 00:00:00-04:00,14.231129270556517,14.3680341352935,13.968790033512203,13.980510711669922,186256000,0.0,0.0
2021-05-19 00:00:00-04:00,13.532392615609274,14.04410338609354,13.509201440576488,14.030387878417969,344000000,0.0,0.0
2021-05-20 00:00:00-04:00,14.266542637893258,14.646834538609415,14.234623498296415,14.575763702392578,321592000,0.0,0.0
2021-05-21 00:00:00-04:00,15.125626149353618,15.183730127808582,14.832116394533218,14.954058647155762,672992000,0.0,0.0
2021-05-24 00:00:00-04:00,15.174253635999285,15.705415135802376,15.137845424049145,15.572750091552734,554816000,0.0,0.0
2021-05-25 00:00:00-04:00,15.726361521757942,15.778729299964287,15.443574568167058,15.60840892791748,435408000,0.0,0.0
2021-05-26 00:00:00-04:00,15.69469328900032,15.754043443944218,15.547065605147322,15.660529136657715,370440000,0.0,0.0
2021-05-27 00:00:00-04:00,15.66027712813999,15.710400841238286,15.421130006657025,15.44905948638916,581476000,0.0,0.0
2021-05-28 00:00:00-04:00,15.462033119165532,16.236580858728214,15.462033119165532,16.203662872314453,644536000,0.0,0.0
2021-06-01 00:00:00-04:00,16.229098796505948,16.3470514176023,15.863270065401705,16.22361183166504,472804000,0.0,0.0
2021-06-02 00:00:00-04:00,16.211390186002433,16.876214600887355,16.194681963051526,16.736066818237305,594168000,0.0,0.0
2021-06-03 00:00:00-04:00,16.65876682044273,17.215613878178374,16.54131266131784,16.92708969116211,580008000,0.0,0.0
2021-06-04 00:00:00-04:00,17.06947505300827,17.616596077162153,17.052519499034798,17.534055709838867,617120000,0.0,0.0
2021-06-07 00:00:00-04:00,17.52707659864361,17.76771918028066,17.149528167001655,17.574705123901367,575756000,0.0,0.0
2021-06-08 00:00:00-04:00,17.483183670666758,17.577196435464696,17.207627375092446,17.413110733032227,323848000,0.0,0.0
2021-06-09 00:00:00-04:00,17.47571805921768,17.534832519599075,17.216312069425967,17.31857681274414,381656000,0.004,0.0
2021-06-10 00:00:00-04:00,17.310340657081756,17.452016262442765,17.136738610383162,17.385168075561523,287772000,0.0,0.0
2021-06-11 00:00:00-04:00,17.439552830587203,17.898253261934265,17.40388509556701,17.784513473510742,416308000,0.0,0.0
2021-06-14 00:00:00-04:00,17.865080050096797,17.998274113696997,17.622386049166344,17.977571487426758,321376000,0.0,0.0
2021-06-15 00:00:00-04:00,17.8740566646082,17.97507495598846,17.68748377402905,17.747844696044922,243032000,0.0,0.0
2021-06-16 00:00:00-04:00,17.75009415079846,17.913718927934667,17.544314342282547,17.769548416137695,307124000,0.0,0.0
2021-06-17 00:00:00-04:00,17.733874892512524,18.79195023048878,17.715667091470888,18.614606857299805,809656000,0.0,0.0
2021-06-18 00:00:00-04:00,18.74106970383863,19.330718581922177,18.54152604115206,18.59615135192871,968856000,0.0,0.0
2021-06-21 00:00:00-04:00,18.39311488047978,18.494135068349298,17.78201553321056,18.385133743286133,672384000,0.0,0.0
2021-06-22 00:00:00-04:00,18.429282365618864,18.92040773197676,18.343977066903633,18.843582153320312,580144000,0.0,0.0
2021-06-23 00:00:00-04:00,18.964308379906097,19.108977447011597,18.86453654386818,19.013694763183594,332356000,0.0,0.0
2021-06-24 00:00:00-04:00,19.183806109567367,19.375616025449478,19.044623366172903,19.161605834960938,320924000,0.0,0.0
2021-06-25 00:00:00-04:00,19.236433070795265,19.301285040207212,18.851315628683007,18.987503051757812,278364000,0.0,0.0
2021-06-28 00:00:00-04:00,19.317000214420624,20.03286106908621,19.274847095565143,19.9393253326416,495436000,0.0,0.0
2021-06-29 00:00:00-04:00,19.8370606251026,20.052815878812567,19.612075871754318,19.980981826782227,367632000,0.0,0.0
2021-06-30 00:00:00-04:00,19.95353678693168,20.116413605033845,19.818346554021335,19.95677947998047,326568000,0.0,0.0
2021-07-01 00:00:00-04:00,20.0790066589229,20.409249572834405,19.973248011353004,20.165807723999023,480136000,0.0,0.0
2021-07-02 00:00:00-04:00,20.39353374130317,20.458385715167392,20.241382131269432,20.440176010131836,342764000,0.0,0.0
